id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,tmdb_popularity,tmdb_score
tm169053,Shor in the City,MOVIE,2011,PG,107,"['drama', 'crime']",['IN'],tt1916728,7.2,2.081,6.4
tm166740,Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,G,66,"['animation', 'action', 'fantasy']",['IN'],tt16235600,9.0,0.963,5.1
tm34142,Department,MOVIE,2012,R,141,"['thriller', 'action', 'crime']",['IN'],tt2186731,3.2,3.184,6.0
tm38331,The Mistress,MOVIE,2012,PG-13,125,"['romance', 'drama']",['PH'],tt2389344,6.3,3.44,5.9
ts32460,Inborn Pair,SHOW,2011,TV-14,43,"['drama', 'comedy']",['TW'],tt6357282,7.1,9.281,1.0
tm44615,Ferrari Ki Sawaari,MOVIE,2012,G,140,"['comedy', 'family', 'sport', 'drama']",['IN'],tt2122340,6.4,4.247,6.2
tm182026,Zokkomon,MOVIE,2011,PG,109,"['scifi', 'fantasy', 'action', 'family']",['IN'],tt1605790,3.9,1.48,6.8
ts32561,Office Girls,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",['TW'],tt4381290,6.9,4.876,7.3
tm42306,Aiyyaa,MOVIE,2012,G,146,"['comedy', 'romance']",['IN'],tt2255934,4.3,2.265,5.1
tm53360,Blood Money,MOVIE,2012,PG,110,"['drama', 'thriller', 'action', 'crime']",['IN'],tt2246595,5.1,29.476,6.1
ts69208,"Love, Now",SHOW,2012,TV-Y,45,"['drama', 'comedy']",['TW'],tt6273116,7.6,1.96,6.5
tm200838,Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,G,70,['animation'],['XX'],tt6442774,7.8,0.704,7.0
tm481620,The Rise of Kirmada,MOVIE,2012,G,68,['animation'],['IN'],tt6543070,8.0,1.245,8.0
ts44064,Drunken to Love You,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],tt2661520,6.5,3.342,8.0
ts39465,Yours Fatefully,SHOW,2012,TV-14,44,"['drama', 'comedy', 'romance']",['SG'],tt7131690,6.8,1.4,6.0
tm235979,My Friend Pinto,MOVIE,2011,PG,115,"['comedy', 'drama', 'crime']",['IN'],tt1512220,5.3,1.004,5.0
ts37864,The Glamorous Imperial Concubine,SHOW,2011,TV-PG,47,"['drama', 'romance', 'history']",['CN'],tt2272555,7.0,1.355,7.0
ts20837,Outlander,SHOW,2014,TV-MA,60,"['scifi', 'drama', 'fantasy', 'romance']",['US'],tt3006802,8.4,238.679,8.2
ts20110,Peaky Blinders,SHOW,2013,TV-MA,58,"['drama', 'crime', 'european']",['GB'],tt2442560,8.8,971.727,8.6
ts20682,Attack on Titan,SHOW,2013,TV-MA,24,"['scifi', 'action', 'drama', 'fantasy', 'horror', 'animation']",['JP'],tt2560140,9.0,139.388,8.6
ts1639,The Blacklist,SHOW,2013,TV-14,43,"['drama', 'crime', 'thriller']",['US'],tt2741602,8.0,279.921,7.5
ts20351,Married at First Sight,SHOW,2014,TV-PG,64,"['reality', 'european']",['US'],tt3868860,6.1,31.913,5.6
tm140389,Paddington,MOVIE,2014,PG,96,"['comedy', 'animation', 'family', 'fantasy', 'european']","['FR', 'GB', 'US']",tt1109624,7.2,34.655,7.1
ts11188,The Flash,SHOW,2014,TV-14,42,"['scifi', 'drama', 'action']",['US'],tt3107288,7.6,751.315,7.8
tm151663,Nightcrawler,MOVIE,2014,R,118,"['crime', 'thriller', 'drama']",['US'],tt2872718,7.8,54.186,7.7
ts20292,Gotham,SHOW,2014,TV-14,43,"['scifi', 'action', 'crime', 'drama', 'thriller']",['US'],tt3749900,7.8,170.642,7.6
ts16045,Are You The One?,SHOW,2014,TV-14,41,['reality'],['US'],tt3484274,6.5,15.818,5.9
tm169422,Her,MOVIE,2013,R,126,"['drama', 'romance', 'scifi']",['US'],tt1798709,8.0,29.436,7.9
tm169719,42,MOVIE,2013,PG-13,128,"['drama', 'sport']",['US'],tt0453562,7.5,13.936,7.1
tm140877,The Imitation Game,MOVIE,2014,PG-13,113,"['thriller', 'drama', 'war']","['US', 'GB']",tt2084970,8.0,46.71,8.0
tm171042,The Call,MOVIE,2013,R,94,"['crime', 'thriller', 'drama', 'horror', 'european']",['US'],tt1911644,6.7,36.703,6.8
ts8146,The 100,SHOW,2014,TV-14,42,"['drama', 'action', 'scifi']",['US'],tt2661044,7.6,224.641,7.9
tm148147,Big Eyes,MOVIE,2014,PG-13,106,"['drama', 'documentation', 'crime', 'romance']","['CA', 'US']",tt1126590,7.2,12.271,7.0
ts21374,How to Get Away with Murder,SHOW,2014,TV-14,43,"['drama', 'thriller', 'crime']",['US'],tt3205802,8.1,59.834,7.9
tm183523,Oldboy,MOVIE,2013,R,104,"['thriller', 'action', 'drama']",['US'],tt1321511,5.7,18.58,5.9
tm176864,Rush,MOVIE,2013,R,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",tt1979320,8.1,34.763,7.7
ts20248,Reign,SHOW,2013,TV-14,42,"['drama', 'fantasy']",['US'],tt2710394,7.5,48.886,8.0
tm134967,How to Train Your Dragon 2,MOVIE,2014,PG,102,"['fantasy', 'comedy', 'family', 'animation', 'action']",['US'],tt1646971,7.8,68.926,7.7
tm143227,Begin Again,MOVIE,2013,R,104,"['comedy', 'music', 'romance', 'drama']",['US'],tt1980929,7.4,17.267,7.3
tm160621,The Conjuring,MOVIE,2013,R,107,"['thriller', 'horror']",['US'],tt1457767,7.5,150.432,7.5
tm180572,Insidious: Chapter 2,MOVIE,2013,PG-13,106,"['thriller', 'horror']",['US'],tt2226417,6.5,52.127,6.7
ts14583,BoJack Horseman,SHOW,2014,TV-MA,26,"['drama', 'comedy', 'animation']",['US'],tt3398228,8.8,92.62,8.6
ts6,House of Cards,SHOW,2013,TV-MA,52,['drama'],['US'],tt1856010,8.7,46.137,8.1
ts20108,Henry Danger,SHOW,2014,TV-G,24,"['scifi', 'action', 'comedy', 'family']",['US'],tt3596174,5.6,121.52,8.2
tm148671,A Walk Among the Tombstones,MOVIE,2014,R,113,"['drama', 'thriller', 'action', 'crime']",['US'],tt0365907,6.5,73.108,6.3
tm182429,Olympus Has Fallen,MOVIE,2013,R,119,"['thriller', 'action', 'drama']",['US'],tt2302755,6.5,84.497,6.4
tm153284,The Giver,MOVIE,2014,PG-13,97,"['drama', 'scifi', 'romance', 'thriller']",['US'],tt0435651,6.4,15.835,6.5
ts20823,Orange Is the New Black,SHOW,2013,TV-MA,59,"['drama', 'comedy', 'crime']",['US'],tt2372162,8.1,72.825,7.7
ts20824,The Originals,SHOW,2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",['US'],tt2632424,8.3,139.994,8.6
ts21367,Jane the Virgin,SHOW,2014,TV-14,42,"['drama', 'comedy']",['US'],tt3566726,7.8,120.677,7.9
tm151807,Creep,MOVIE,2014,R,77,"['horror', 'thriller']",['US'],tt2428170,6.3,13.284,6.4
tm145655,St. Vincent,MOVIE,2014,PG-13,102,"['comedy', 'drama']",['US'],tt2170593,7.2,21.451,7.1
ts20280,Marco Polo,SHOW,2014,TV-MA,55,"['action', 'drama', 'history', 'documentation']",['US'],tt2189461,8.0,34.279,7.4
ts35682,Wentworth,SHOW,2013,TV-MA,46,"['drama', 'crime', 'thriller']",['AU'],tt2433738,8.6,29.782,8.1
ts20261,Madam Secretary,SHOW,2014,TV-14,43,"['war', 'thriller', 'drama']",['US'],tt3501074,7.6,56.834,6.8
tm161525,The Green Inferno,MOVIE,2013,R,100,"['horror', 'thriller']","['CA', 'CL', 'US']",tt2403021,5.3,35.625,5.6
tm175843,Dark Skies,MOVIE,2013,PG-13,97,"['thriller', 'horror', 'scifi', 'documentation']",['US'],tt4190332,6.3,25.799,6.3
